种子生产	玉米种业
种子生产	水稻种业
种子生产	小麦种业
种子生产	糖类作物种业
果蔬生产	绿色水果
果蔬生产	转基因水果
果蔬生产	绿色蔬菜
果蔬生产	转基因蔬菜
其他种植业	药材种植
其他种植业	花卉种植
其他种植业	烟草种植
其他种植业	棉麻种植
海洋捕捞	远洋捕捞业
海洋捕捞	近海捕捞业
海洋捕捞	沿岸捕捞业
海洋捕捞	金枪鱼渔业
海洋捕捞	捕鲸业
水产养殖	产品养殖
水产养殖	水产品加工
水产养殖	水产品运输
水产养殖	水产品销售
林业	树种种植
林业	林木保护
林业	林木采伐
林业	林木产品利用
饲料	淀粉类
饲料	含油类
饲料	含糖类
饲料	绿饲料
饲料	蛋白饲料
果蔬加工	罐藏品
果蔬加工	糖制品
果蔬加工	干制品
果蔬加工	速冻品
果蔬加工	果酒
果蔬加工	果蔬汁
粮油加工	小麦加工
粮油加工	水稻加工
粮油加工	玉米加工
粮油加工	高粱加工
粮油加工	花生加工
畜禽加工	乳与乳制品加工
畜禽加工	肉与肉制品加工
畜禽加工	禽蛋与蛋制品加工
畜禽加工	畜禽副产品加工
农业综合	改造中低产田
农业综合	改良草场
农业综合	植树造林
农业综合	农副产品加工
农业综合	农林牧渔协调发展
畜禽养殖	肉鸡养殖
畜禽养殖	生猪养殖
畜禽养殖	污染治理
畜禽养殖	农产品销售
动物保健	场址选择
动物保健	饲养管理
动物保健	防病治病
动物保健	PCR技术
石油开采	测井工程
石油开采	钻井工程
石油开采	采油工程
石油开采	油气集输工程
煤炭开采	壁式采煤
煤炭开采	露天采煤
煤炭开采	地下采煤
煤炭开采	页岩开采
煤炭开采	动力煤
焦炭加工	机制焦
焦炭加工	焦煤
焦炭加工	石墨电极
焦炭加工	固定炭
其他采掘	天然气开采
其他采掘	可燃冰开采
其他采掘	铁矿开采
其他采掘	木材采伐
油气钻采服务	货物运输
油气钻采服务	锅炉设计安装
油气钻采服务	压力管道设计安装
油气钻采服务	钻采设备维修
其他钻采服务	货物运输
其他钻采服务	设备安装与维护
其他钻采服务	设备维修
石油加工	天然气化工
石油加工	炼油
石油加工	裂解
石油加工	有机化工产品加工
石油贸易	石油定价
石油贸易	现货交易
石油贸易	原油
石油贸易	纽约商品交易所
纯碱	洗涤剂
纯碱	苏打
纯碱	小苏打
纯碱	大苏打
纯碱	玻璃工业
氯碱	饱和食盐水
氯碱	工业盐
氯碱	电石
氯碱	氯乙烯单体
无机盐	钙
无机盐	镁
无机盐	钾
无机盐	氯
无机盐	硫
无机盐	铁
其他化学原料	发泡剂
其他化学原料	塑料
其他化学原料	合成纤维
其他化学原料	合成橡胶
其他化学原料	盐酸
其他化学原料	硫酸
其他化学原料	甘氨酸
氮肥	尿素
氮肥	硝态氮肥
氮肥	铵态氮肥
氮肥	铵态硝态氮肥
磷肥	天然磷肥
磷肥	磷酸钙
磷肥	重过磷酸钙
磷肥	钙镁磷肥
磷肥	磷矿粉
农药	化学合成农药
农药	杀虫剂
农药	杀菌剂
农药	除草剂
农药	脱叶剂
农药	植物生长调节剂
日用化学产品	肥皂
日用化学产品	合成洗涤剂
日用化学产品	化妆品
日用化学产品	口腔清洁卫生用品
涂料油漆油墨制造	建筑涂料
涂料油漆油墨制造	汽车涂料
涂料油漆油墨制造	家电涂料
涂料油漆油墨制造	木器涂料
涂料油漆油墨制造	凸版油墨
涂料油漆油墨制造	平版油墨
涂料油漆油墨制造	凹版油墨
涂料油漆油墨制造	网孔版油墨
钾肥	氯化钾
钾肥	硫酸钾
钾肥	磷酸二氢钾
钾肥	钾镁盐
钾肥	硝酸钾
钾肥	窑灰钾肥
民爆用品	炸药
民爆用品	震源药柱
民爆用品	起爆药柱
民爆用品	工程雷管
民爆用品	塑料导爆管
民爆用品	导火索
民爆用品	导爆索
民爆用品	聚能射孔弹
纺织化学用品	染料助剂
纺织化学用品	重氮盐
纺织化学用品	浆料
其他化学制品	易燃液体
其他化学制品	易燃固体
其他化学制品	过氧化物
其他化学制品	放射性物质
其他化学制品	腐蚀品
其他化学制品	压缩物质
复合肥	磷酸二铵
复合肥	磷酸一铵
复合肥	硝酸磷肥
复合肥	硝酸钾
复合肥	磷酸二氢钾
氟化工及制冷剂	氢氟酸
氟化工及制冷剂	萤石
氟化工及制冷剂	氟树脂
氟化工及制冷剂	氟橡胶
磷化工及磷酸盐	食品级磷酸
磷化工及磷酸盐	饲料级磷酸盐
磷化工及磷酸盐	电子级磷酸
磷化工及磷酸盐	能源材料磷酸盐
磷化工及磷酸盐	磷系阻燃剂
聚氨酯	合成革
聚氨酯	泡沫塑料
聚氨酯	涂料
聚氨酯	粘合剂
聚氨酯	橡胶
聚氨酯	聚合MDI
玻纤	无捻粗纱织物
玻纤	玻璃纤维毡片
玻纤	磨碎纤维
玻纤	玻璃纤维织物
涤纶	涤纶短纤维
涤纶	涤纶长丝
涤纶	拉伸丝
涤纶	差别化纤维
涤纶	变形丝
维纶	装饰用布
维纶	帆布
维纶	渔网
维纶	窗帘
维纶	缆绳
粘胶	普通粘胶纤维
粘胶	高湿模量粘胶纤维
粘胶	高强力粘胶纤维
其他纤维	氯纶
其他纤维	丙纶
其他纤维	腈纶
其他纤维	绵纶
氨纶	聚酯型氨纶
氨纶	聚醚型氨纶
氨纶	紧身服
氨纶	运动装
氨纶	护身带
氨纶	鞋底
其他塑料制品	胶木
其他塑料制品	塑料袋
其他塑料制品	有机玻璃
其他塑料制品	塑料薄膜
其他塑料制品	人造革
合成革	超细纤维合成革
合成革	干法合成革
合成革	湿法合成革
改性材料	阻燃树脂类
改性塑料	增强增韧树脂类
改性塑料	塑料合金类
改性塑料	功能色母类
改性塑料	PVC产品
改性塑料	玻纤增强热塑性塑料
轮胎	轿车轮胎
轮胎	轻型载重汽车轮胎
轮胎	越野汽车轮胎
轮胎	工程机械轮胎
轮胎	载重和公共汽车轮胎
轮胎	航空轮胎
其他橡胶制品	橡胶手套
其他橡胶制品	橡皮筋
其他橡胶制品	橡胶鞋
其他橡胶制品	垫圈
其他橡胶制品	胶管
其他橡胶制品	胶辊
其他橡胶制品	海绵
炭黑	色素用炭黑
炭黑	橡胶用炭黑
炭黑	导电碳黑
炭黑	专用碳黑
普钢	建筑用钢
普钢	机械制造用钢
普钢	农用钢
普钢	国防工业用钢
普钢	家电制造用钢
普钢	交通运输用钢
特钢	优质碳素结构钢
特钢	合金结构钢
特钢	碳素工具钢
特钢	合金工具钢
特钢	高速工具钢
特钢	轴承钢
特钢	弹簧钢
特钢	不锈钢
铝	工业纯铝
铝	铝土矿
铝	氧化铝
铝	电解铝
铝	铝加工
铜	散热器
铜	配线
铜	滑动轴承
铜	管道
铜	子弹
铜	蒸馏锅
铅锌	镀锌
铅锌	优质铜矿
铅锌	锌合金
铅锌	氧化锌
铅锌	干电池
铅锌	方铅矿
铅锌	锌精矿
铅锌	菱锌矿
铅锌	白铅矿
黄金	纯金
黄金	色金
黄金	k金
黄金	狗头金
稀土	碳酸氯化稀土
稀土	磷矿稀土
稀土	混合稀土
钨	碳化钨基硬质合金
钨	热强和耐磨合金
钨	触头材料和高比重合金
钨	二硫化钨
钨	钨酸
钨	钨酸盐
锂	碳酸锂
锂	氢氧化锂
锂	磷铝石
锂	氯化锂
锂	锂电池
锂	氨基锂
其他稀有小金属	钒钛
其他稀有小金属	镭
其他稀有小金属	铀
其他稀有小金属	钴
其他稀有小金属	硒
金属新材料	高纯金属
金属新材料	稀贵金属
金属新材料	高温合金
金属新材料	耐蚀合金
金属新材料	特种不锈钢
磁性材料	磁致伸缩材料
磁性材料	永磁材料
磁性材料	软磁材料
磁性材料	铁氧体
磁性材料	磁光材料
磁性材料	旋磁材料
磁性材料	磁性薄膜材料
非金属新材料	非晶态金属材料
非金属新材料	准晶
非金属新材料	微晶
非金属新材料	纳米金属材料
非金属新材料	金属基复合材料
水泥制造	硅酸盐水泥
水泥制造	普通水泥
水泥制造	矿渣水泥
水泥制造	火山灰水泥
水泥制造	复合水泥
水泥制造	粉煤灰水泥
玻璃制造	普通玻璃
玻璃制造	钢化玻璃
玻璃制造	磨砂玻璃
玻璃制造	压花玻璃
玻璃制造	夹层玻璃
耐火材料	金属陶瓷
耐火材料	高温无机涂层
耐火材料	纤维增强陶瓷
耐火材料	氧化物
耐火材料	碳化物
管材	地暖专用管
管材	阻氧管
管材	塑铝稳态管
管材	纳米抗菌管
管材	纤维增强
管材	聚丙烯管
其他建材	钢材
其他建材	沙子
其他建材	砖块
其他建材	涂胶
其他建材	石材
房屋建设	住宅楼
房屋建设	工业厂房
房屋建设	商业楼宇
房屋建设	写字楼
房屋建设	其他专用房屋
装修装饰	灯具
装修装饰	陶瓷
装修装饰	门窗
装修装饰	窗帘
装修装饰	洁具
装修装饰	石材
园林工程	园林工程施工管理
园林工程	园林景观设计
园林工程	园林植物栽培养护
园林工程	园林经营管理
城轨建设	地铁
城轨建设	轻轨
城轨建设	单轨
城轨建设	有轨电车
城轨建设	磁浮系统
城轨建设	市域快速轨道系统
路桥施工	高速公路
路桥施工	城市公路
路桥施工	公路桥
路桥施工	公铁两用桥
路桥施工	人行桥
路桥施工	过水桥
水利工程	防洪工程
水利工程	水利发电工程
水利工程	城镇供水
水利工程	排水工程
水利工程	港口工程
铁路建设	高速铁路
铁路建设	普通铁路
铁路建设	重载铁路
铁路建设	磁浮铁路
铁路建设	干线铁路
其他基础建设	农村基建
其他基础建设	商用建筑
其他基础建设	能源动力
其他基础建设	环保工程及服务
其他基础建设	邮电通讯
钢结构	重型厂房
钢结构	体育馆
钢结构	大会堂
钢结构	电视塔
钢结构	高层建筑
钢结构	水塔
化学工程	石油精炼
化学工程	催化制造
化学工程	纳米技术
化学工程	生物制药
化学工程	塑料合成
国际工程承包	交通运输工程
国际工程承包	石油化工
国际工程承包	房屋建筑
国际工程承包	电力
国际工程承包	工业
国际工程承包	水利
国际工程承包	制造业
其他专业工程	土方工程
其他专业工程	高耸构筑物工程
其他专业工程	电梯安装工程
其他专业工程	消防设施工程
其他专业工程	园林古建筑工程
电机	直流式
电机	电磁式
电机	永磁式
电机	异步电机
电机	同步电机
电网自动化	配网自动化终端
电网自动化	电力电容器
电网自动化	涡轮机设备控制箱
电网自动化	控制保护系统
电网自动化	上位机监控
电网自动化	升降压保护及监控
工控自动化	米轮发信器
工控自动化	码表
工控自动化	技术器
工控自动化	速度表
计量仪表	计量柜
计量仪表	IC卡电表
计量仪表	智能电表
综合电力设备商	高频电源设备系统
综合电力设备商	降压变电站
综合电力设备商	备用发电机组
风电设备	塔架
风电设备	风轮系统
风电设备	传动系统
风电设备	风电装机
风电设备	液压系统
风电设备	刹车系统
风电设备	控制系统
风电设备	安全保护系统
光伏设备	硅棒制造设备
光伏设备	晶圆制造设备
光伏设备	有机硅
